Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power
M,254,305,2002,3,116,77239
L,301,313,1931,66,7,19660
M,263,300,2536,80,103,26635
L,282,314,1623,29,125,34372
L,340,318,1995,7,64,43117
M,284,315,2022,8,59,71671
L,280,318,1945,34,175,81864
M,254,303,2237,75,23,19345
M,256,304,1554,21,104,92709
L,292,316,1364,6,175,15859
L,258,300,1985,74,51,40952
M,258,308,1736,55,166,47185
M,323,320,2960,38,6,74232
H,305,308,2135,48,50,32500
H,281,309,1721,15,211,45638
L,282,310,2580,31,110,14887
M,284,319,2653,25,39,67966
M,255,320,1597,9,237,54396
L,318,311,2327,49,85,16622
L,350,308,1759,12,195,32227
L,286,319,2876,76,245,49982
M,257,316,1589,55,18,82449
M,256,316,1801,58,230,80901
H,296,320,1576,15,23,57300
L,313,300,2794,59,223,56520
M,274,302,2047,17,86,31431
L,295,310,2649,50,158,34823
H,297,305,1560,18,192,31473
M,306,319,2756,70,166,84260
H,315,309,1191,16,207,70602
M,271,316,1415,76,242,16953
H,283,313,2920,46,14,65334
H,291,318,1334,14,52,73048
H,302,301,2801,45,35,91918
L,330,302,2255,21,204,89660
L,270,303,2656,63,11,85588
H,310,302,1248,46,199,94438
H,328,302,2513,8,150,87875
M,294,314,1713,56,234,46600
M,327,313,2612,33,252,78917
M,341,319,2850,31,57,32319
M,317,314,2935,28,182,35687
H,311,313,2838,66,28,44720
M,255,314,1732,72,126,68886
H,333,300,1163,42,23,35434
M,282,320,2388,21,41,18026
M,298,301,1266,7,201,49703
L,306,320,1572,7,210,56159
H,260,309,1341,40,19,59764
L,258,314,1710,66,75,69441
L,340,302,1224,57,168,98735
L,313,311,2789,74,51,30759
H,251,305,1185,19,216,56199
H,256,300,1568,15,59,95285
M,259,300,1945,9,44,73986
L,342,315,2548,33,128,16653
M,304,319,2642,80,126,42872
M,255,319,2637,15,155,60273
L,295,311,2943,58,177,34122
M,298,319,1219,6,246,26715
H,312,306,1424,80,245,48703
H,272,314,1987,68,11,66240
L,346,319,1570,21,140,57760
L,315,314,2526,54,40,35761
M,350,309,2177,54,177,13559
M,305,303,1133,33,96,15369
L,340,300,1466,24,94,21159
H,282,318,1511,37,27,71210
H,294,320,2059,17,23,36900
L,283,320,1347,39,17,13364
L,344,309,2381,52,35,74944
L,280,311,2219,38,32,43782
M,324,308,2875,4,197,21982
H,281,319,2068,10,79,49945
H,324,306,2971,46,74,74795
M,282,306,2010,66,253,75398
H,302,318,1704,3,100,18553
M,322,303,1989,45,238,44316
H,268,310,2836,35,115,41025
H,338,302,1541,26,198,87217
H,350,318,1882,61,243,60381
H,262,305,2271,42,132,14637
M,288,317,1250,47,181,33833
M,309,308,2937,60,142,93723
L,282,306,2937,74,167,17433
L,341,318,1679,17,194,53118
L,296,316,1484,10,9,93187
M,292,316,1376,14,155,67801
L,330,305,2311,20,122,80624
M,295,310,2402,64,15,41766
M,301,304,1900,10,151,38406
M,289,312,2409,61,169,60669
H,260,312,2311,28,30,39767
M,269,305,1595,49,61,67169
L,281,319,2703,78,99,15302
M,298,305,1728,25,17,60103
L,316,308,1987,68,231,46519
H,326,316,2668,5,222,75269
L,287,300,2359,51,30,60086
H,278,305,2551,4,77,22230
L,310,309,2858,19,43,22034
M,276,304,2606,11,93,83971
H,342,303,1746,21,153,90371
H,347,310,1297,73,154,19337
H,286,302,2682,25,55,54772
L,312,310,1211,65,71,90749
M,345,319,1688,42,147,99298
H,299,313,1451,65,251,43883
M,286,316,2665,75,93,74609
M,326,307,2739,80,130,23129
M,320,301,2717,29,127,59307
H,314,315,2541,22,151,70107
M,285,319,1551,6,52,22776
M,305,310,2586,47,40,52384
L,340,305,2513,11,66,39659
M,296,303,2734,21,62,53345
L,260,317,2239,53,98,42315
L,281,301,1331,5,50,27586
L,268,312,1642,73,232,57105
H,301,316,1425,30,28,87677
L,251,319,2700,5,127,79927
H,330,320,2088,23,70,18644
H,307,311,1199,70,59,25214
L,259,319,2987,67,110,72119
H,341,314,1639,75,167,34652
M,325,313,1809,74,101,45906
H,322,308,1451,72,156,53023
M,284,319,2894,12,39,43373
L,270,310,2377,40,196,77841
L,347,308,2373,7,99,71974
H,262,320,2371,69,222,23398
L,281,308,2168,72,116,31243
